,icont,frequency,vc,vb,mode,corner,temperature,bias_current
784,5e-05,1828860.0,0.99612,0.580577,full-RC,ff,-25.0,5e-05
785,0.0002,4141160.0,1.60249,0.377472,schematic,ss,27.0,0.0002
786,0.0001,3362880.0,1.23581,0.494078,C-coupled,fs,-25.0,0.0001
787,0.0002,4146380.0,1.55376,0.34732,C-decoupled,ss,0.0,0.0002
788,0.00025,4110000.0,1.79265,0.444678,C-decoupled,fs,50.0,0.00025
789,0.00025,3704770.0,1.83247,0.484886,full-RC,ff,100.0,0.00025
790,0.000225,4132700.0,1.63606,0.387864,C-decoupled,tt,27.0,0.000225
791,0.000225,4094360.0,1.59867,0.412522,full-RC,ff,27.0,0.000225
792,0.000125,3038810.0,1.3582,0.473652,full-RC,sf,75.0,0.000125
793,0.0002,3631090.0,1.65716,0.457582,C-coupled,tt,75.0,0.0002
794,0.000225,3778160.0,1.73673,0.443067,C-decoupled,tt,75.0,0.000225
795,0.0002,3719860.0,1.66937,0.514296,schematic,ff,100.0,0.0002
796,2.5e-05,555038.0,0.850942,0.768711,C-decoupled,sf,100.0,2.5e-05
797,0.00025,4467240.0,1.70237,0.37636,schematic,tt,27.0,0.00025
798,7.5e-05,2931590.0,1.10311,0.456405,schematic,sf,0.0,7.5e-05
799,2.5e-05,674806.0,0.890855,0.67171,schematic,tt,0.0,2.5e-05
800,0.00015,5e-07,1.31949,0.40393,schematic,ff,-25.0,0.00015
801,5e-05,1528410.0,1.08726,0.788406,C-decoupled,fs,100.0,5e-05
802,0.0001,2651960.0,1.34911,0.652658,C-coupled,fs,100.0,0.0001
803,2.5e-05,5e-07,0.888123,0.714297,C-coupled,tt,27.0,2.5e-05
804,7.5e-05,2713630.0,1.18958,0.550389,schematic,ss,50.0,7.5e-05
805,0.00025,3617180.0,1.83808,0.416727,C-coupled,sf,100.0,0.00025
806,0.000125,3134610.0,1.39125,0.588427,schematic,ff,100.0,0.000125
807,0.000175,3704250.0,1.49669,0.472593,C-decoupled,ff,50.0,0.000175
808,5e-05,1800230.0,1.06366,0.683116,schematic,fs,27.0,5e-05
809,0.000175,4128440.0,1.44531,0.334022,full-RC,ss,-25.0,0.000175
